"Kods","Koda atšifrējums latviešu valodā","Koda atšifrējums angļu valodā","Pakalpojuma kategorijas Nr."
"03117140-7","Fungicīdu izgatavošanā vai līdzīgiem mērķiem izmantojamie augi.","Plants used for fungicidal or similar purposes","preces"
"03117200-6","Specifiskās jomās izmantojamās augu sēklas.","Seeds of plants used in specific fields","preces"
"03120000-8","Dārzkopības produkcija un dēsti.","Horticultural and nursery products","preces"
"03121000-5","Dārzkopības produkti.","Horticultural products","preces"
"03121100-6","Stādi, sīpoli, saknes, spraudeņi un potzari.","Live plants, bulbs, roots, cuttings and slips","preces"
"03121200-7","Grieztie ziedi.","Cut flowers","preces"
"03121210-0","Ziedu kompozīcijas.","Floral arrangements","preces"
"03130000-1","Garšaugi un augkopības produkti dzērienu pagatavošanai.","Beverage and spice crops","preces"
"03131000-8","Dzērienu ražošanā izmantojamās kultūras.","Beverage crops","preces"
"03131100-9","Kafijas pupiņas.","Coffee beans","preces"
"03131200-0","Tējas krūmi.","Tea bushes","preces"
"03131300-1","Mate.","Maté","preces"
"03131400-2","Kakao pupiņas.","Cocoa beans","preces"
"03132000-5","Nepārstrādātas garšvielas.","Unprocessed spices","preces"
"03140000-4","Dzīvnieku valsts produkti un saistītā produkcija.","Animal products and related products","preces"
"03141000-1","Buļļa sperma.","Bulls' semen","preces"
"03142000-8","Dzīvnieku valsts produkti.","Animal products","preces"
"03142100-9","Dabīgais medus.","Natural honey","preces"
"03142200-0","Gliemeži.","Snails","preces"
"03142300-1","Dzīvnieku valsts pārtikas produkti.","Edible products of animal origin","preces"
"03142400-2","Vaski.","Waxes","preces"
"03142500-3","Olas.","Eggs","preces"
"03143000-5","Jauktās saimniecības produkti.","Products of mixed farming","preces"
"03144000-2","Lauksaimniecības materiāli.","Agricultural supplies","preces"
"03200000-3","Graudaugu produkti, kartupeļi, dārzeņi, augļi un rieksti.","Cereals, potatoes, vegetables, fruits and nuts","preces"
"03210000-6","Graudaugu produkti un kartupeļi.","Cereals and potatoes","preces"
"03211000-3","Graudaugi.","Cereals","preces"
"03211100-4","Kvieši.","Wheat","preces"
"03211110-7","Cietie kvieši.","Durum wheat","preces"
"03211120-0","Mīkstie kvieši.","Soft wheat","preces"
"03211200-5","Kukurūza.","Maize","preces"
"03211300-6","Rīsi.","Rice","preces"
"03211400-7","Mieži.","Barley","preces"
"03211500-8","Rudzi.","Rye","preces"
"03211600-9","Auzas.","Oats","preces"
"03211700-0","Iesals.","Malt","preces"
"03211900-2","Graudu produkti.","Grain products","preces"
"03212000-0","Kartupeļi un kaltēti dārzeņi.","Potatoes and dried vegetables","preces"
"03212100-1","Kartupeļi.","Potatoes","preces"
"03212200-2","Kaltēti pākšaugi.","Dried leguminous vegetables and pulses","preces"
"03212210-5","Pākšaugi (kaltēti).","Dried leguminous vegetables","preces"
"03212211-2","Lēcas.","Lentils","preces"
"03212212-9","Pundurzirņi.","Chick peas","preces"
"03212213-6","Kaltēti zirņi.","Dried peas","preces"
"03212220-8","Pākšaugi.","Pulses","preces"
"03220000-9","Dārzeņi, augļi un rieksti.","Vegetables, fruits and nuts","preces"
"03221000-6","Dārzeņi.","Vegetables","preces"
"03221100-7","Sakņu un bumbuļu dārzeņi.","Root and tuber vegetables","preces"
"03221110-0","Sakņu dārzeņi.","Root vegetables","preces"
"03221111-7","Galda bietes.","Beetroot","preces"
"03221112-4","Burkāni.","Carrots","preces"
"03221113-1","Sīpoli.","Onions","preces"
"03221114-8","Rāceņi.","Turnips","preces"
"03221120-3","Bumbuļu dārzeņi.","Tuber vegetables","preces"
"03221200-8","Augļu dārzeņi.","Fruit vegetables","preces"
"03221210-1","Pupas.","Beans","preces"
"03221211-8","Dārza pupiņas.","Broad beans","preces"
"03221212-5","Zaļās pupas.","Green beans","preces"
"03221213-2","Ugunssarkanās pupiņas.","Runner beans","preces"
"03221220-4","Zirņi.","Peas","preces"
"03221221-1","Dārza zirņi.","Garden peas","preces"
"03221222-8","Cukurzirņi.","Mange-tout","preces"
"03221230-7","Pipari (paprika).","Peppers","preces"
"03221240-0","Tomāti.","Tomatoes","preces"
"03221250-3","Tumšzaļie kabači.","Courgettes","preces"
"03221260-6","Sēnes.","Mushrooms","preces"
"03221270-9","Gurķi.","Cucumbers","preces"
"03221300-9","Lapu dārzeņi.","Leaf vegetables","preces"
"03221310-2","Dārza salāti.","Lettuce","preces"
"03221320-5","Salātu lapas.","Salad leaves","preces"
"03221330-8","Artišoki.","Artichokes","preces"
"03221340-1","Spināti.","Spinach","preces"
"03221400-0","Kāpostveida dārzeņi.","Cabbage vegetables","preces"
"03221410-3","Galviņkāposti.","Cabbage","preces"
"03221420-6","Ziedkāposti.","Cauliflower","preces"
"03221430-9","Brokoļi.","Broccoli","preces"
"03221440-2","Briseles kāposti.","Brussels sprouts","preces"
"03222000-3","Augļi un rieksti.","Fruit and nuts","preces"
"03222100-4","Tropu augļi un rieksti.","Tropical fruit and nuts","preces"
"03222110-7","Tropu augļi.","Tropical fruit","preces"
"03222111-4","Banāni.","Bananas","preces"
"03222112-1","Ananasi.","Pineapples","preces"
"03222113-8","Mango.","Mangoes","preces"
"03222114-5","Dateles.","Dates","preces"
"03222115-2","Rozīnes.","Raisins","preces"
"03222116-9","Vīģes.","Figs","preces"
"03222117-6","Avokado.","Avocados","preces"
"03222118-3","Kivi.","Kiwi fruit","preces"
"03222120-0","Kokosrieksti.","Coconuts","preces"
"03222200-5","Citrusaugļi.","Citrus fruit","preces"
"03222210-8","Citroni.","Lemons","preces"
"03222220-1","Apelsīni.","Oranges","preces"
"03222230-4","Greipfrūti.","Grapefruit","preces"
"03222240-7","Tanžerīni.","Tangerines","preces"
"03222250-0","Laimi.","Limes","preces"
"03222300-6","Augļi, kas nav tropu augļi.","Non-tropical fruit","preces"
"03222310-9","Ogas.","Berry fruit","preces"
"03222311-6","Jāņogas.","Currants","preces"
"03222312-3","Ērkšķogas.","Gooseberries","preces"
"03222313-0","Zemenes.","Strawberries","preces"
"03222314-7","Avenes.","Raspberries","preces"
"03222315-4","Dzērvenes.","Cranberries","preces"
"03222320-2","Āboli, bumbieri un cidonijas.","Apples, pears and quinces","preces"
"03222321-9","Āboli.","Apples","preces"
"03222322-6","Bumbieri.","Pears","preces"
"03222323-3","Cidonijas.","Quinces","preces"
"03222330-5","Kauleņi.","Stone fruit","preces"
"03222331-2","Aprikozes.","Apricots","preces"
"03222332-9","Persiki.","Peaches","preces"
"03222333-6","Ķirši.","Cherries","preces"
"03222334-3","Plūmes.","Plums","preces"
"03222340-8","Vīnogas.","Grapes","preces"
"03222341-5","Galda vīnogas.","Table grapes","preces"
"03222342-2","Vīna vīnogas.","Wine grapes","preces"
"03222400-7","Olīvas.","Olives","preces"
"03300000-2","Saimniecības, medniecības un zivsaimniecības produkcija.","Farming, hunting and fishing products","preces"
"03310000-5","Zivis, vēžveidīgie un ūdens valsts produkti.","Fish, crustaceans and aquatic products","preces"
"03311000-2","Zivis.","Fish","preces"
"03311100-3","Plekstveidīgās zivis.","Flat fish","preces"
"03311110-6","Jūras mēleszivs.","Sole","preces"
"03311120-9","Bute.","Plaice","preces"
"03311200-4","Mencu dzimtas zivis.","Fish of the cod family","preces"
"03311210-7","Menca.","Cod","preces"
"03311220-0","Pollaks.","Pollock","preces"
"03311230-3","Heks.","Hake","preces"
"03311240-6","Pikša.","Haddock","preces"
"03311300-5","Siļķe.","Herring","preces"
"03311400-6","Tunzivs.","Tuna","preces"
"03311500-7","Merlangs.","Whiting","preces"
"03311600-8","Snitka.","Whitebait","preces"
"03311700-9","Lasis.","Salmon","preces"
"03312000-9","Vēžveidīgie.","Crustaceans","preces"
"03312100-0","Austeres.","Oysters","preces"
"03312200-1","Vēžveidīgie mīkstmieši.","Shellfish","preces"
"03312300-2","Ūdens bezmugurkaulnieki.","Aquatic invertebrates","preces"
"03313000-6","Ūdens valsts produkti.","Aquatic products","preces"
"03313100-7","Koraļļi vai līdzīgi produkti.","Corals or similar products","preces"
"03313200-8","Dabīgie sūkļi.","Natural sponges","preces"
"03313300-9","Jūraszāles.","Seaweeds","preces"
"03313310-2","Aļģes.","Algae","preces"
"03320000-8","Liellopi, lauksaimniecības dzīvnieki un mazie dzīvnieki.","Cattle, livestock and small animals","preces"
"03321000-5","Liellopi.","Cattle","preces"
"03321100-6","Govis.","Bovine cattle","preces"
"03321200-7","Teļi.","Calves","preces"
"03322000-2","Lauksaimniecības dzīvnieki.","Livestock","preces"
"03322100-3","Aitas.","Sheep","preces"
"03322200-4","Kazas.","Goats","preces"
"03322300-5","Zirgi.","Horses","preces"
"03323000-9","Cūkas.","Pigs","preces"
"03324000-6","Dzīvi mājputni.","Live poultry","preces"
"03325000-3","Mazie dzīvnieki.","Small animals","preces"
"03325100-4","Truši.","Rabbits","preces"
"03325200-5","Zaķi.","Hares","preces"
"03330000-3","Mājlopu produkti.","Farm animal products","preces"
"03331000-0","Svaigs aitas un kazas piens.","Fresh milk from sheep and goats","preces"
"03331100-1","Aitas piens.","Sheep's milk","preces"
"03331200-2","Kazas piens.","Goats' milk","preces"
"03332000-7","Vilna un dzīvnieku spalva.","Wool and animal hair","preces"
"03332100-8","Cirptā vilna.","Shorn wool","preces"
"03332200-9","Dzīvnieku mati.","Animal hair","preces"
"03333000-4","Svaigs govs piens.","Fresh cows' milk","preces"
"03340000-6","Dzīvnieku krotālijas.","Animal ear tags","preces"
"03341000-3","Liellopu krotālijas.","Bovine ear tags","preces"
"03400000-4","Mežkopības un mežistrādes produkti.","Forestry and logging products","preces"
"03410000-7","Koks.","Wood","preces"
"03411000-4","Skujkoku koksne.","Coniferous wood","preces"
"03412000-1","Tropu koku koksne.","Tropical wood","preces"
"03413000-8","Kurināmā koksne.","Fuel wood","preces"
"03414000-5","Neapstrādāta koksne.","Rough wood","preces"
"03415000-2","Skujkoku (mīksto koku) koksne.","Softwood","preces"
"03416000-9","Koksnes atkritumi.","Wood waste","preces"
"03417000-6","Koksnes atliekas.","Scrap wood","preces"
"03417100-7","Zāģu skaidas.","Sawdust","preces"
"03418000-3","Stumbra koksne.","Logs","preces"
"03418100-4","Cietkoksne. Lapu koku koksne.","Hardwood","preces"
"03419000-0","Kokmateriāli.","Timber","preces"
"03419100-1","Kokmateriālu izstrādājumi.","Timber products","preces"
"03419200-2","Koka stutes raktuvēm.","Mining timber","preces"
"03420000-0","Gumijas sveķi.","Gums","preces"
"03421000-7","Balzami.","Balsams","preces"
"03422000-4","Šellaka.","Lac","preces"
"03430000-3","Korķis.","Cork","preces"
"03431000-0","Dabīgais korķis.","Natural cork","preces"
"03432000-7","Pīti grozi.","Basketware","preces"
"03432100-8","Pinumi.","Wickerwork","preces"
"03440000-6","Mežsaimniecības produkcija.","Forestry products","preces"
"03441000-3","Dekoratīvie augi, stiebrzāles, sūnas un ķērpji.","Ornamental plants, grasses, mosses or lichens","preces"
"03450000-9","Kokaudzētavu produkcija.","Tree-nursery products","preces"
"03451000-6","Stādi.","Plants","preces"
"03451100-7","Ziedoši viengadīgie stādi.","Bedding plants","preces"
"03451200-8","Puķu sīpoli.","Flower bulbs","preces"
"03451300-9","Krūmi.","Shrubs","preces"
"03452000-3","Koki.","Trees","preces"
"03460000-2","Celuloze.","Pulp","preces"
"03461000-9","Koksnes celuloze.","Wood pulp","preces"
"03461100-0","Ķīmiskā koksnes celuloze.","Chemical wood pulp","preces"
"09000000-3","Naftas produkti, degviela, elektroenerģija un pārējie enerģijas avoti.","Petroleum products, fuel, electricity and other sources of energy","preces"
"09100000-0","Degvielas.","Fuels","preces"
"09110000-3","Cietais kurināmais.","Solid fuels","preces"
"09111000-0","Akmeņogles un ogļu izcelsmes kurināmais.","Coal and coal-based fuels","preces"
"09111100-1","Akmeņogles.","Coal","preces"
"09111200-2","Ogļu izcelsmes kurināmais.","Coal-based fuels","preces"
"09111210-5","Antracīts.","Hard coal","preces"
"09111220-8","Briketes.","Briquettes","preces"
"09111300-3","Degizrakteņi.","Fossil fuels","preces"
"09111400-4","Koksnes kurināmais.","Wood fuels","preces"
"09112000-7","Brūnogles un kūdra.","Lignite and peat","preces"
"09112100-8","Brūnogles.","Lignite","preces"
"09112200-9","Kūdra.","Peat","preces"
"09113000-4","Kokss.","Coke","preces"
"09120000-6","Gāzveida kurināmie.","Gaseous fuels","preces"
"09121000-3","Akmeņogļu gāze, cauruļvadu sistēmā piegādātā gāze vai līdzīgas gāzes.","Coal gas, mains gas or similar gases","preces"
"09121100-4","Akmeņogļu gāze un līdzīgas gāzes.","Coal gas or similar gases","preces"
"09121200-5","Cauruļvadu sistēmā piegādātā gāze.","Mains gas","preces"
"09122000-0","Propāns un butāns.","Propane and butane","preces"
"09122100-1","Propāna gāze.","Propane gas","preces"
"09122110-4","Sašķidrināta propāna gāze.","Liquefied propane gas","preces"
"09122200-2","Butāna gāze.","Butane gas","preces"
"09122210-5","Sašķidrināta butāna gāze.","Liquefied butane gas","preces"
"09123000-7","Dabasgāze.","Natural gas","preces"
"09130000-9","Nafta un destilāti.","Petroleum and distillates","preces"
"09131000-6","Aviācijas petroleja.","Aviation kerosene","preces"
"09131100-7","Petrolejas tipa reaktīvo dzinēju degvielas.","Kerosene jet type fuels","preces"
"09132000-3","Benzīns.","Petrol","preces"
"09132100-4","Bezsvina benzīns.","Unleaded petrol","preces"
"09132200-5","Etilēts benzīns.","Leaded petrol","preces"
"09132300-6","Benzīns ar etanolu.","Petrol with ethanol","preces"
"09133000-0","Sašķidrinātā naftas gāze (LPG).","Liquefied Petroleum Gas (LPG)","preces"
"09134000-7","Gāzeļļas.","Gas oils","preces"
"09134100-8","Dīzeļeļļa.","Diesel oil","preces"
"09134200-9","Dīzeļdegviela.","Diesel fuel","preces"
"09134210-2","Dīzeļdegviela (0,2).","Diesel fuel (0,2)","preces"
"09134220-5","Dīzeļdegviela (EN 590).","Diesel fuel (EN 590)","preces"
"09134230-8","Biodīzeļdegviela.","Biodiesel","preces"
"09134231-5","Biodīzeļdegviela (B20).","Biodiesel (B20)","preces"
"09134232-2","Biodīzeļdegviela (B100).","Biodiesel (B100)","preces"
"09135000-4","Mazuts.","Fuel oils","preces"
"09135100-5","Kurināmās eļļas.","Heating oil","preces"
"09135110-8","Uzliesmojošas eļļas ar zemu sēra saturu.","Low-sulphur combustible oils","preces"
"09200000-1","Naftas, ogļu un eļļas produkti.","Petroleum, coal and oil products","preces"
"09210000-4","Eļļošanas līdzekļi.","Lubricating preparations","preces"
"09211000-1","Smēreļļas un smērvielu līdzekļi.","Lubricating oils and lubricating agents","preces"
"09211100-2","Motoreļļas.","Motor oils","preces"
"09211200-3","Kompresoru ziežeļļas.","Compressor lube oils","preces"
"09211300-4","Turbīnu ziežeļļas.","Turbine lube oils","preces"
"09211400-5","Transmisijas eļļas.","Gear oils","preces"
"09211500-6","Reduktoru eļļas.","Reductor oils","preces"
"09211600-7","Eļļas izmantošanai hidrosistēmās un citiem nolūkiem.","Oils for use in hydraulic systems and other purposes","preces"
"09211610-0","Šķidrumi hidrauliskajām iekārtām.","Liquids for hydraulic purposes","preces"
"09211620-3","Veidņu eļļas.","Mould release oils","preces"
"09211630-6","Pretkorozijas eļļas.","Anti-corrosion oils","preces"
"09211640-9","Elektroizolācijas eļļas.","Electrical insulating oils","preces"
"09211650-2","Bremžu šķidrumi.","Brake fluids","preces"
"09211700-8","Baltās eļļas un šķidrie parafīni.","White oils and liquid paraffin","preces"
"09211710-1","Baltās eļļas.","White oils","preces"
"09211720-4","Šķidrie parafīni.","Liquid paraffin","preces"
"09211800-9","Minerāleļļas un to izstrādājumi.","Petroleum oils and preparations","preces"
"09211810-2","Vieglās eļļas.","Light oils","preces"
"09211820-5","Nafta.","Petroleum oils","preces"
"09211900-0","Paaugstinātas saķeres [traction] ziežeļļas.","Lubricating traction oils","preces"
"09220000-7","Vazelīns, parafīna vaski un speciālie benzīni.","Petroleum jelly, waxes and special spirits","preces"
"09221000-4","Vazelīns un parafīna vaski.","Petroleum jelly and waxes","preces"
"09221100-5","Vazelīns.","Petroleum jelly","preces"
"09221200-6","Parafīna vasks.","Paraffin wax","preces"
"09221300-7","Jēlparafīns.","Petroleum wax","preces"
"09221400-8","Naftas atlikumi.","Petroleum residues","preces"
"09222000-1","Speciālie benzīni.","Special spirits","preces"
"09222100-2","Lakbenzīns.","White spirit","preces"
"09230000-0","Jēlnafta.","Petroleum (crude)","preces"
"09240000-3","Eļļas un ogļu produkti.","Oil and coal-related products","preces"
"09241000-0","Degakmens vai degslāneklis.","Bituminous or oil shale","preces"
"09242000-7","Ogļu izcelsmes produkti.","Coal-related products","preces"
"09242100-8","Ogļu nafta.","Coal oil","preces"
"09300000-2","Elektrība, siltumapgāde, saules enerģija un kodolenerģija.","Electricity, heating, solar and nuclear energy","preces"
"09310000-5","Elektrība.","Electricity","preces"
"09320000-8","Tvaiks, karstais ūdens un saistītie produkti.","Steam, hot water and associated products","preces"
"09321000-5","Karstais ūdens.","Hot water","preces"
"09322000-2","Tvaiks.","Steam","preces"
"09323000-9","Centralizētā siltumapgāde.","District heating","preces"
"09324000-6","Siltumapgāde lielos attālumos.","Long-distance heating","preces"
"09330000-1","Saules enerģija.","Solar energy","preces"
"09331000-8","Saules bateriju paneļi.","Solar panels","preces"
"09331100-9","Saules kolektori siltuma ražošanai.","Solar collectors for heat production","preces"
"09331200-0","Saules fotoelementu moduļi.","Solar photovoltaic modules","preces"
"09332000-5","Saules enerģijas iekārtas.","Solar installation","preces"
"09340000-4","Kodoldegviela.","Nuclear fuels","preces"
"09341000-1","Urāns.","Uranium","preces"
"09342000-8","Plutonijs.","Plutonium","preces"
"09343000-5","Radioaktīvie materiāli.","Radioactive materials","preces"
"09344000-2","Radioaktīvie izotopi.","Radio-isotopes","preces"
"14000000-1","Raktuvju, parasto metālu un saistītā produkcija.","Mining, basic metals and related products","preces"
"14200000-3","Smilts un māls.","Sand and clay","preces"
"14210000-6","Grants, smilts, akmens šķembas un to masa.","Gravel, sand, crushed stone and aggregates","preces"
"14211000-3","Smilts.","Sand","preces"
"14211100-4","Dabīgā smilts.","Natural sand","preces"
"14212000-0","Granulas, lauskas, akmens putekļi, oļi, grants, akmens šķembas un drupinātais akmens, akmens maisījumi, smilts un grants maisījumi un citas masas.","Granules, chippings, stone powder, pebbles, gravel, broken and crushed stone, stone mixtures, sandgravel mixtures and other aggregates","preces"
"14212100-1","Oļi un grants.","Pebbles and gravel","preces"
"14212110-4","Oļi.","Pebbles","preces"
"14212120-7","Grants.","Gravel","preces"
"14212200-2","Masas.","Aggregates","preces"
"14212210-5","Smilts un grants maisījums.","Sand-gravel mix","preces"
"14212300-3","Akmens šķembas un drupinātais akmens.","Broken and crushed stone","preces"
"14212310-6","Balasts.","Ballast","preces"
"14212320-9","Drupinātais granīts.","Crushed granite","preces"
"14212330-2","Drupinātais bazalts.","Crushed basalt","preces"
"14212400-4","Augsne.","Soil","preces"
"14212410-7","Aramkārta.","Topsoil","preces"
"14212420-0","Pamatzeme.","Subsoil","preces"
"14212430-3","Akmens šķembas.","Stone chippings","preces"
"14213000-7","Makadams, darvotais makadams un darvas smilts.","Macadam, tarmac and tar sands","preces"
"14213100-8","Makadams.","Macadam","preces"
"14213200-9","Darvotais makadams.","Tarmac","preces"
"14213300-0","Darvas smiltis.","Tar sands","preces"
"14220000-9","Māls un kaolīns.","Clay and kaolin","preces"
"14221000-6","Māls.","Clay","preces"
"14222000-3","Kaolīns.","Kaolin","preces"
"14300000-4","Ķīmiskie minerāli un minerālmēsli.","Chemical and fertiliser minerals","preces"
"14310000-7","Minerālmēsli.","Fertiliser minerals","preces"
"14311000-4","Dabīgais kalcijs, alumīnija kalcija fosfāts un neapstrādāta dabīgā kālija sāļi.","Natural calcium, aluminium calcium phosphate and crude natural potassium salts","preces"
"14311100-5","Dabīgais kalcijs.","Natural calcium","preces"
"14311200-6","Alumīnija kalcija fosfāts.","Aluminium calcium phosphates","preces"
"14311300-7","Neapstrādāta dabīgā kālija sāļi.","Crude natural potassium salts","preces"
"14312000-1","Dzelzs pirīti.","Iron pyrites","preces"
"14312100-2","Nekausēti dzelzs pirīti.","Unroasted iron pyrites","preces"
"14320000-0","Ķīmiskie minerāli.","Chemical minerals","preces"
"14400000-5","Sāls un tīrais nātrija hlorīds.","Salt and pure sodium chloride","preces"
"14410000-8","Minerālsāls.","Rock salt","preces"
"14420000-1","Jūras sāls.","Sea salt","preces"
"14430000-4","Tvaicēšanas rezultātā izdalīta sāls un tīra vārāmā sāls.","Evaporated salt and pure sodium chloride","preces"
"14450000-0","Sāls šķīdums.","Salt in brine","preces"
"14500000-6","Raktuvju un karjeru izstrādes saistītie produkti.","Related mining and quarrying products","preces"
"14520000-2","Dārgakmeņi un pusdārgakmeņi; pumeks; smirģelis; dabīgie abrazīvi; citi minerāli un dārgmetāli.","Precious and semi-precious stones, pumice stone, emery, natural abrasives, other minerals and precious metals","preces"
"14521000-9","Dārgakmeņi un pusdārgakmeņi.","Precious and semi-precious stones","preces"
"14521100-0","Dārgakmeņi.","Precious stones","preces"
"14521140-2","Dārgakmeņu putekļi vai pulveris.","Dust or powder of precious stones","preces"
"14521200-1","Pusdārgakmeņi.","Semi-precious stones","preces"
"14521210-4","Pusdārgakmeņu putekļi vai pulveris.","Dust or powder of semi-precious stones","preces"
"14522000-6","Rūpnieciskie dimanti; pumeks; smirģelis un citi dabīgie abrazīvi.","Industrial diamonds, pumice stone, emery and other natural abrasives","preces"
"14522100-7","Pumeks.","Pumice stone","preces"
"14522200-8","Rūpnieciskie dimanti.","Industrial diamonds","preces"
"14522300-9","Smirģelis.","Emery","preces"
"14522400-0","Dabīgie abrazīvi.","Natural abrasives","preces"
"14523000-3","Radniecīgie minerāli, dārgakmeņi un saistītie produkti.","Related minerals, precious metals and associated products","preces"
"14523100-4","Minerāli.","Minerals","preces"
"14523200-5","Zelts.","Gold","preces"
"14523300-6","Sudrabs.","Silver","preces"
"14523400-7","Platīns.","Platinum","preces"
"14600000-7","Metāla rūdas un sakausējumi.","Metal ores and alloys","preces"
"14610000-0","Metāla rūdas.","Metal ores","preces"
"14611000-7","Dzelzs rūdas.","Iron ores","preces"
"14612000-4","Krāsaino metālu rūdas.","Non-ferrous metal ores","preces"
"14612100-5","Vara rūda.","Copper ores","preces"
"14612200-6","Niķeļa rūda.","Nickel ores","preces"
"14612300-7","Alumīnija rūda.","Aluminium ores","preces"
"14612400-8","Dārgmetālu rūdas.","Precious-metal ores","preces"
"14612500-9","Svina rūda.","Lead ores","preces"
"14612600-0","Cinka rūda.","Zinc ores","preces"
"14612700-1","Alvas rūda.","Tin ores","preces"
"14613000-1","Urāna un torija rūdas.","Uranium and thorium ores","preces"
"14613100-2","Urāna rūda.","Uranium ores","preces"
"14613200-3","Torija rūda.","Thorium ores","preces"
"14614000-8","Dažādas rūdas.","Miscellaneous ores","preces"
"14620000-3","Sakausējumi","Alloys","preces"
"14621000-0","Dzelzs sakausējumi.","Ferro-alloys","preces"
"14621100-1","Dzelzs sakausējumi, kas nav no EOTK.","Non-ECSC ferro-alloys","preces"
"14621110-4","Feromangāns.","Ferro-manganese","preces"
"14621120-7","Ferohroms.","Ferro-chromium","preces"
"14621130-0","Feroniķelis.","Ferro-nickel","preces"
"14622000-7","Tērauds.","Steel","preces"
"14630000-6","Izdedži, sārņi, dzelzs atkritumi un metāllūžņi.","Slag, dross, ferrous waste and scrap","preces"
"14700000-8","Parastie metāli.","Basic metals","preces"
"14710000-1","Dzelzs, svins, cinks, alva un varš.","Iron, lead, zinc, tin and copper","preces"
"14711000-8","Dzelzs.","Iron","preces"
"14711100-9","Čuguns.","Pig iron","preces"
"14712000-5","Svins.","Lead","preces"
"14713000-2","Cinks.","Zinc","preces"
"14714000-9","Alva.","Tin","preces"
"14715000-6","Varš.","Copper","preces"
"14720000-4","Alumīnijs, niķelis, skandijs, titāns un vanādijs.","Aluminium, nickel, scandium, titanium and vanadium","preces"
"14721000-1","Alumīnijs.","Aluminium","preces"
"14721100-2","Alumīnija oksīds.","Aluminium oxide","preces"
"14722000-8","Niķelis.","Nickel","preces"
"14723000-5","Skandijs.","Scandium","preces"
"14724000-2","Titāns.","Titanium","preces"
"14725000-9","Vanādijs.","Vanadium","preces"
"14730000-7","Hroms, mangāns, kobalts, itrijs un cirkonijs.","Chromium, manganese, cobalt, yttrium and zirconium","preces"
"14731000-4","Hroms.","Chromium","preces"
"14732000-1","Mangāns.","Manganese","preces"
"14733000-8","Kobalts.","Cobalt","preces"
"14734000-5","Itrijs.","Yttrium","preces"
"14735000-2","Cirkonijs.","Zirconium","preces"
"14740000-0","Molibdēns, tehnēcijs, rutēnijs un rodijs.","Molybdenum, technetium, ruthenium and rhodium","preces"
"14741000-7","Molibdēns.","Molybdenum","preces"
"14742000-4","Tehnēcijs.","Technetium","preces"
"14743000-1","Rutēnijs.","Ruthenium","preces"
"14744000-8","Rodijs.","Rhodium","preces"
"14750000-3","Kadmijs, lutēcijs, hafnijs, tantals un volframs.","Cadmium, lutetium, hafnium, tantalum and tungsten","preces"
"14751000-0","Kadmijs.","Cadmium","preces"
"14752000-7","Lutēcijs.","Lutetium","preces"
"14753000-4","Hafnijs.","Hafnium","preces"
"14754000-1","Tantals.","Tantalum","preces"
